Chromosome	Position
4	112544410
4	112552643
4	112654187
4	112748075
4	112827837
4	112954465
4	113006450
4	113093769
4	113209310
13	86260042
4	113279018
4	113360966
4	146662675
4	146780581
4	146818918
4	146909783
4	146974389
4	147103754
4	147134866
4	147223955
4	147299302
4	147396974
4	155504452
4	155508741
4	155522200
4	155535320
4	155552869
4	155558948
4	155572370
4	155577812
14	8705203
4	155590134
4	155603038
5	3064744
5	3071267
5	3121556
5	3162331
5	3209797
5	3267476
5	3306477
5	3338066
14	8817468
5	3396962
5	3435739
5	4580496
5	4675915
5	4753192
5	4857387
5	4954515
5	5028748
5	5192546
14	8871941
5	5293075
5	5562710
5	5657737
5	5742230
5	5824020
5	5944746
5	6083329
5	6120703
5	6184088
5	6364772
5	7551055
5	7640506
5	7739302
5	7820963
5	7916608
5	8006560
5	8097924
5	8184679
14	9057187
5	8280017
5	8371613
5	8558743
5	8645173
5	8731213
5	8827193
5	8915754
5	9015664
5	9096799
5	9203472
14	9146043
5	9281759
5	9419895
5	21542067
5	21570990
5	21639699
5	21769126
5	21832332
5	21926353
5	22010955
5	22111800
14	9252626
5	22279623
5	22368297
5	34658325
5	34743263
5	34841587
5	34936582
5	35005645
5	35124138
5	35217936
5	35276046
5	48564525
5	48743775
5	48882657
5	48923042
5	49039925
5	49100037
14	9427197
5	49195282
5	49322386
5	49383254
5	59558697
5	59733099
5	59836016
5	59941237
5	60003508
5	60097467
14	9510300
5	60189305
5	60275266
5	60370308
5	60566232
5	60640660
5	60765808
5	60826417
5	60915686
5	61008864
5	61092912
14	10694926
5	61183102
5	61277080
5	61419986
5	77550582
5	77641465
5	77728961
5	77819090
5	77908138
5	78013631
5	78094616
14	10792823
5	78178066
5	78278534
5	78365251
5	78578762
5	78649414
5	78743417
5	78827175
5	78924801
5	79025853
5	79113902
14	10909453
5	79201099
5	79371331
5	86554681
5	86642810
5	86744203
5	86825665
5	86967937
5	87011733
5	87098534
14	11000049
5	87220064
5	87315752
5	109572054
5	109673510
5	109742550
5	109841727
5	110106864
14	11063877
5	110184855
5	110355248
5	111555679
5	111669467
5	111729683
5	111839504
5	111913869
5	112117576
14	11146175
5	112184293
5	112324327
5	112369278
6	49704764
6	49736149
6	49846803
6	49932872
6	50059159
6	50143758
6	50230817
14	11233836
6	50273399
6	50342360
6	65585092
6	65668328
6	65750503
6	65846814
6	65958248
6	66031874
6	66112582
6	66241176
14	11329976
6	66298031
6	66394558
6	68524023
6	68525575
6	68536363
6	68559129
6	68652710
6	68828189
6	68918218
14	11437338
6	69007524
6	69097092
6	69210573
6	69276597
6	69377754
6	69567655
6	69652046
6	69742981
6	69833620
6	69923521
14	11506210
6	70104695
6	70210409
6	70285901
6	70380808
6	104581123
6	104660860
6	104838208
6	104931207
14	11686908
6	105022210
6	105113948
6	105203579
6	105288917
6	105588744
6	105670792
6	105758920
6	105851510
6	105936890
14	11780607
6	106083753
6	106110338
6	106289656
6	106383677
6	128568092
6	128651842
6	128744892
6	128944629
14	11870157
6	129017844
6	129105521
6	129204693
6	129390930
6	129565783
6	129654545
6	129736904
6	129829080
14	11963502
6	130003794
6	130162879
6	130181132
6	130326526
6	130490824
6	131558956
6	131655766
6	131742375
6	131838044
6	131925356
14	12061440
6	132018589
6	132099207
6	132188654
6	132279543
6	132378622
6	132589472
6	132682991
6	132796584
6	132845013
6	132924893
6	133021421
6	133104821
6	133201977
6	133291921
6	133379175
7	3062290
7	3125220
7	3199913
7	3288591
14	12233798
7	3302604
7	3356858
7	3401518
7	3446149
7	10616395
7	10677460
7	10777827
7	10856004
7	10953242
7	11025620
14	12323081
7	11120828
7	11201827
7	11310459
7	11381406
7	11696077
7	11761810
7	11868390
7	12045782
7	12152166
7	12180783
14	12419179
7	12236614
7	12323052
7	12389692
7	12521523
7	12594075
7	12653979
7	12749326
7	12846373
7	12928121
7	13037258
14	12503592
7	13118443
7	13199881
7	13283200
7	13396721
7	13655031
7	13783116
7	13859034
7	13953178
7	14038985
14	12689830
7	14112804
7	14219721
7	14300725
7	14385495
7	14558827
7	14671693
7	14743518
7	14831207
7	14922964
7	15041049
14	12783883
7	15101996
7	15287167
7	15377342
7	33934996
7	34078107
7	34095409
7	34154072
7	34205993
7	34263035
14	12871564
7	34315158
7	34370661
7	34427600
7	46607452
7	46831126
7	46924261
7	47026729
7	47090310
14	12963401
7	47204980
7	47314141
7	47433467
7	107657671
7	107865166
7	107930341
7	108113027
14	13057323
7	108203189
7	108296325
7	109570990
7	109748412
7	109860670
7	109941591
7	110022685
7	110108539
14	13142551
7	110286930
7	110376871
7	110563621
7	110647217
7	110769490
7	110832407
7	110929015
7	111012017
7	111101641
14	13233663
7	111195050
7	111291994
7	112560028
7	112659272
7	112738826
7	112836541
7	112916946
7	113382137
7	113591555
7	113663533
7	113764068
7	113842106
7	113942599
7	114015995
7	114102526
7	114276414
7	114383726
8	61631081
8	61734643
8	61829078
8	61916042
8	61996638
8	62082867
8	62165511
8	62263984
8	62349540
8	62436911
9	3639689
9	3701074
14	13507057
9	3792764
9	3879549
9	3957010
9	4055703
9	4142022
9	4338486
9	4421860
9	7616061
9	7699885
14	13693396
9	7849107
9	7879230
9	7975026
9	8060867
9	8151613
9	8225385
9	8342911
9	16620570
9	16703208
14	13783198
9	16784526
9	16878674
9	16969387
9	17054255
9	17229597
9	17324956
9	17410700
9	18707403
14	13878170
9	18793637
9	18877408
9	18959043
9	19066269
9	19141370
9	19233923
9	19322296
9	19415095
9	20615196
14	13963409
9	20799618
9	20923909
9	20974457
9	21085279
9	21163499
9	21256824
9	21334698
9	24657108
9	24772614
9	24824998
9	25218263
9	25289697
9	25440910
X	72873644
X	72943819
X	73049554
X	73106578
X	73284493
X	73392071
14	14143919
X	73452479
X	73564525
X	73585953
X	83781820
X	83906224
X	83981576
X	84094277
X	84193868
X	84356623
X	84392220
14	14236881
X	84483936
X	84571804
X	132818113
X	132954979
X	133009710
X	133072509
X	133153263
X	133353179
X	133486511
X	133488145
14	14329224
X	133587406
X	149799099
X	149948118
X	150033337
X	150151045
X	150211997
X	150321122
X	150409199
X	150514008
14	14422711
X	150588901
14	14505374
14	14674606
14	14681481
14	14685334
14	14697026
14	14787549
14	14881300
14	14967165
14	15055877
14	15143939
14	15233058
14	15414029
14	15501505
14	15679517
14	15691690
14	15780627
14	15875341
14	15960492
14	16053760
14	16138445
14	16231927
14	16350479
14	16409918
14	16503654
14	16778404
14	16868236
14	16959082
14	17049110
14	17147603
14	17234426
14	17323943
14	17415553
14	17504265
14	17686869
14	17787990
14	17867527
14	17960257
14	18050149
14	18232666
14	18438954
14	18501003
14	18689049
14	18781413
14	18873135
14	18964742
14	19058863
14	19142092
14	19361347
14	19424591
14	19504991
14	40668484
14	40701809
14	40789409
14	40876300
14	40965149
14	41139386
14	41232067
14	41346991
14	41412239
14	41506369
14	50659993
14	50660507
14	50663957
14	50665227
14	50673174
14	50688475
14	50777174
14	50880353
14	50966734
14	51138862
14	51230275
14	51322588
14	51425272
14	51515053
14	51712502
14	51787929
14	51962304
14	52052456
14	52143433
14	52239968
14	52336957
14	52512826
14	65695213
14	65778937
14	65969733
14	66068926
14	66140634
14	66235488
14	66323671
14	66413682
14	66525612
14	83708165
14	83785134
14	83874099
14	83965298
14	84054250
14	84144620
14	84236342
14	84325152
14	84414386
14	84505315
14	84688296
14	84779672
14	84869653
14	84960944
14	85050140
14	85141539
14	85231581
14	85322104
14	85412612
15	17561351
15	17740681
15	17915429
15	18010645
15	18183792
15	18267628
15	18356136
15	18561169
15	18648652
15	18741633
15	18825185
15	18922140
15	19005866
15	19094181
15	19183392
15	19363303
15	19555840
15	19565145
15	19740555
15	19830466
15	19919257
15	20009330
15	20104554
15	20285547
15	20370578
15	20884977
15	20947908
15	21018694
15	21173706
15	21246090
15	21289168
15	21368668
15	21507641
15	21509504
15	21550620
15	21640412
15	21730641
15	21822454
15	21911084
15	22002171
15	22091777
15	22181446
15	22271085
15	22363749
15	22451305
15	22564096
15	22659600
15	22753830
15	22891578
15	23033271
15	23115469
15	23189798
15	23285820
15	23368398
15	23569242
15	23649460
15	23830058
15	23922378
15	24013222
15	24129002
15	24202919
15	24281942
15	24384660
15	24552543
15	24640696
15	24730350
15	24818645
15	24925221
15	25003993
15	25087052
15	25206353
15	25266823
15	25355820
15	46557946
15	46644582
15	46739382
15	46821326
15	46917409
15	47002433
15	47095369
15	47183259
15	47285103
15	47365966
16	62661617
16	62695735
16	62823381
16	62914272
16	63005137
16	63092545
16	63167027
16	63264369
16	63357404
16	63463420
16	63630400
16	63742676
16	63835525
16	63915112
16	64009232
16	64095231
16	64214309
16	64262341
16	64370130
16	64468405
17	18556008
17	18654282
17	18733305
17	18824179
17	18916006
17	19007399
17	19096504
17	19283429
17	19369579
17	19559492
17	19643527
17	19743225
17	19830986
17	19917384
17	20006662
17	20187598
17	20277363
17	20369452
17	20552253
17	20734447
17	20824215
17	20949789
17	21022703
17	21115024
17	21188072
17	21372284
17	21555351
17	21640742
17	21731079
17	21823177
17	21910391
17	22001027
17	22101060
17	22268886
17	22359691
17	22531602
17	22585973
17	22658732
17	22739278
17	22836477
17	22927239
17	23010554
17	23115216
17	23192047
17	23286315
17	23372381
17	36556115
17	36643291
17	36733003
17	36822440
17	36918413
17	37001808
17	37090645
17	37180161
17	37358854
17	37557782
17	37639074
17	37722577
17	37890440
17	37976226
17	38062754
17	38172415
17	38329936
17	38564114
17	38653348
17	38743848
17	38831834
17	38921199
17	39010514
17	39100505
17	39191164
17	39278913
17	39551525
17	39642833
17	39740306
17	39822381
17	39925691
17	40091623
17	40181511
17	40272211
17	40363590
17	41645646
17	41733839
17	41840431
17	41915163
17	42006514
17	42100894
17	42185917
17	42278686
17	42366816
18	3666230
18	3728379
18	3795332
18	3872498
18	3931313
18	4046352
18	4139387
18	4217669
18	4290454
18	4377237
18	17567314
18	17663729
18	17788505
18	17918286
18	18001691
18	18087850
18	18172538
18	18261536
18	18345748
18	18568250
18	18733044
18	18925792
18	19009416
18	19095624
18	19188290
18	19332206
18	19372719
18	19655525
18	19727267
18	19847043
18	19904819
18	19996059
18	20098170
18	20183826
18	20262615
18	20377750
19	13731712
19	13789589
19	14107785
19	14208031
19	14275790
19	14374852
19	14448428
2	7653079
2	7774126
2	7863003
2	7940836
2	8001569
2	8084352
2	8186891
2	8255019
2	8480723
2	40619816
2	40708799
Y	11000000
Y	11000000
1	3125499
1	3125499
1	3534900
1	3767104
1	4185434
1	4528212
1	4604103
1	5252728
1	6737521
1	7138455
1	7138455
1	7373057
1	7688129
1	8101222
1	8974997
1	9428631
1	10497711
1	10864571
1	12621012
1	13265351
1	13265351
1	14067111
1	14195603
1	14287199
1	14532406
1	14569413
1	15343673
1	15429059
1	15555192
1	15896042
1	16068278
1	16272106
1	16499497
1	17023371
1	17743095
1	18342961
1	18474671
1	19514586
1	19867877
1	20905664
1	21993644
1	22280489
1	22299360
1	22551386
1	22671028
1	22746717
1	23080913
1	23117656
1	23557411
1	24105132
1	25420349
1	26970988
1	26971726
1	27495531
1	27943034
1	28056807
1	28616775
1	28818395
1	29058511
1	29125053
1	29354689
1	29452262
1	29619299
1	30183383
1	30767351
1	31104390
1	31725929
1	33045630
1	33230772
1	34570201
1	34885510
1	35293429
1	35935818
1	36134384
1	36302878
1	36771151
1	36868573
1	36916833
1	37614784
1	37964328
1	38728201
1	39216428
1	39300693
1	40016595
1	40742373
1	40812297
1	41479593
1	41647457
1	41969522
1	42050989
1	42424417
1	42815407
1	43086383
1	43412620
1	44522353
1	45367041
1	45685342
1	45837429
1	46439568
1	46583698
1	46902794
1	47230229
1	48514985
1	49048102
1	49490613
1	49537498
1	49894804
1	51024792
1	51318423
1	51892854
1	51934952
1	52053868
1	52528906
1	53206310
1	53772500
1	54172450
1	55450341
1	55969159
1	56246632
1	56451627
1	56811550
1	56847613
1	58488031
1	58973262
1	59078496
1	59240364
1	60052471
1	60052471
1	60054949
1	60727897
1	61047025
1	61938202
1	62091075
1	62375893
1	62516016
1	63130361
1	63130463
1	63945494
1	64530487
1	65291733
1	65611841
1	66244031
1	66488594
1	66894136
1	67809104
1	67809534
1	68778563
1	68846731
1	69066532
1	69246214
1	69656503
1	70494573
1	70692515
1	70851880
1	70892492
1	71014761
1	71293230
1	71334596
1	71772986
1	71891651
1	71932088
1	72198891
1	74135682
1	74381138
1	74686685
1	75057158
1	75870426
1	75932285
1	76139364
1	76854264
1	78913503
1	80595748
1	80863248
1	81080496
1	82140376
1	82806119
1	83922565
1	83922565
1	84017677
1	84138986
1	84177822
1	84779136
1	84905543
1	84938368
1	87603753
1	87936134
1	88172624
1	88526554
1	88885203
1	88924249
1	89687405
1	89799110
1	90724780
1	91043484
1	91703940
1	92801257
1	93333966
1	93480153
1	94153678
1	94605394
1	94626611
1	94686854
1	95046118
1	95046118
1	95244324
1	95600986
1	95687017
1	97292567
1	99004905
1	99486822
1	99497023
1	100164209
1	100769732
1	100814427
1	104649231
1	105528249
1	105727282
1	106038198
1	106216520
1	106700094
1	106773460
1	107399201
1	107761498
1	108088502
1	108241339
1	108420008
1	108768874
1	110694299
1	110901545
1	110902306
1	112448203
1	113102405
1	115730660
1	116051918
1	116806036
1	117586050
1	118387277
1	118967451
1	119986468
1	120871755
1	121017491
1	121267340
1	121528450
1	121875133
1	122496030
1	123052937
1	123423207
1	124142160
1	125503624
1	125539279
1	125850145
1	126359924
1	128293524
1	128450945
1	129123148
1	129378998
1	131328003
1	131368647
1	131483088
1	131495972
1	131648882
1	131690189
1	132010419
1	132010419
1	132728853
1	132760514
1	133144528
1	133607164
1	133671528
1	134759589
1	135053720
1	136896115
1	137094794
1	139044901
1	139869910
1	140221471
1	140631905
1	141934731
1	143097426
1	144157359
1	144653669
1	144906468
1	145172233
1	146836435
1	147223910
1	147774048
1	148185096
1	148629798
1	149634360
1	151021357
1	151901436
1	152088415
1	152341892
1	153753403
1	153846678
1	154082194
1	154224202
1	155019304
1	156116919
1	156143930
1	156533686
1	156570362
1	156581072
1	157463270
1	158231338
1	159195620
1	159397087
1	160108289
1	161216522
1	161430122
1	162153557
1	162233456
1	162279829
1	162396317
1	162544733
1	163397434
1	163486489
1	163988718
1	164258915
1	165368129
1	165381674
1	165597834
1	165723917
1	166113529
1	166831583
1	167324362
1	167993162
1	167994323
1	168195013
1	168356631
1	169078809
1	169483894
1	170358761
1	170400719
1	170562974
1	170677064
1	170851756
1	171171981
1	172504900
1	172891015
1	173076368
1	173303329
1	173355850
1	173625989
1	173779714
1	173922027
1	174149663
1	174265123
1	174708378
1	174867279
1	174941441
1	175036351
1	175967318
1	176304973
1	176804021
1	177216913
1	178348298
1	178957715
1	179513007
1	180203549
1	180989939
1	181254115
1	181970809
1	182066911
1	182400663
1	182588010
1	183060113
1	183075092
1	184153519
1	184229184
1	184551472
1	184623017
1	184791578
1	185787683
1	185920836
1	186217346
1	187278344
1	187300087
1	187965591
1	188501200
1	188717220
1	188717220
1	188897784
1	188897784
1	188940400
1	189032617
1	189257338
1	189787900
1	189920619
1	190241203
1	190241203
1	190631781
1	192218088
1	192218088
1	192410380
1	192479465
1	192703526
1	192843890
1	193183693
1	193268399
1	193788966
1	193965441
1	194097634
1	194237344
1	194276769
1	194638273
1	194709739
1	194793583
1	194837167
1	194982072
1	195114869
1	195144426
1	195265621
1	195345408
1	195499491
1	195865095
1	195903487
1	196301748
1	196661900
1	197114387
1	197114387
10	3292357
10	3552256
10	3597808
10	4178150
10	4378936
10	5014654
10	5488719
10	6352782
10	7018029
10	9387035
10	9625228
10	10254948
10	10407128
10	10694609
10	10768556
10	11811963
10	11928649
10	12009190
10	12777581
10	13209409
10	13485696
10	13564211
10	13987823
10	15348329
10	15525213
10	15585730
10	15781641
10	15839896
10	16293435
10	16366074
10	16366074
10	17622618
10	17880527
10	18411608
10	18703151
10	18937859
10	20540839
10	20723885
10	21371470
10	22328112
10	22333589
10	22333589
10	22412169
10	23066158
10	23481743
10	23481743
10	23488837
10	23985950
10	23999609
10	24128649
10	24128649
10	25449031
10	25484594
10	25523963
10	26092021
10	26165518
10	26704892
10	27244181
10	27334900
10	27466520
10	27801446
10	28008529
10	28008689
10	28130472
10	28274546
10	28581401
10	29091129
10	29445983
10	29886861
10	29921224
10	29971222
10	30130389
10	30586032
10	30771152
10	30894063
10	30894063
10	31048857
10	31211526
10	32134584
10	32614216
10	32684576
10	32811351
10	33220893
10	33580208
10	34088517
10	34253669
10	34576303
10	35089284
10	35213330
10	35487353
10	36368405
10	36451070
10	36810869
10	37492900
10	37692303
10	37692303
10	37730155
10	39303618
10	39303618
10	39705023
10	40132323
10	40409199
10	40531558
10	40562190
10	41251393
10	41373026
10	41478968
10	41748078
10	41748078
10	42536513
10	42972131
10	42972131
10	43253757
10	44172556
10	44254844
10	44486644
10	44603258
10	45037711
10	45130074
10	45334666
10	45612988
10	45650832
10	46012822
10	46973658
10	47328275
10	47503559
10	47528544
10	48162792
10	48187514
10	48338786
10	48460697
10	48572801
10	49700911
10	50329524
10	50611008
10	51130971
10	51334276
10	51691338
10	51888560
10	52284533
10	52850239
10	53408812
10	53492552
10	53532022
10	53849511
10	54089153
10	54207393
10	54611178
10	54743563
10	55449820
10	55848835
10	55848835
10	55891941
10	56064042
10	56136248
10	56417139
10	56572081
10	57094639
10	57191368
10	57191368
10	57331829
10	57493722
10	57531413
10	57679859
10	58888409
10	59085530
10	59125605
10	59246936
10	59285416
10	59645660
10	59846062
10	60256729
10	60446140
10	60568068
10	60642844
10	60686288
10	62790747
10	63199444
10	63288478
10	63421813
10	63421813
10	63692349
10	64252601
10	65527101
10	65575384
10	65763824
10	66245911
10	66406745
10	66441262
10	66647566
10	66807520
10	66887449
10	66927660
10	66969203
10	67051468
10	67126570
10	67220932
10	67687338
10	67846997
10	69647037
10	69726004
10	70327119
10	70367548
10	70569909
10	70569909
10	71887498
10	71952405
10	72047298
10	72212673
10	72243080
10	72364417
10	72367697
10	72526275
10	72570953
10	73383284
10	73492720
10	74129044
10	74194191
10	74318217
10	74517613
10	74840015
10	75360920
10	75521552
10	75561224
10	75720432
10	75720432
10	76478312
10	76478312
10	77157686
10	77359717
10	77518481
10	77518481
10	77677829
10	77838868
10	78001602
10	78523306
10	78556720
10	79591653
10	80030773
10	80360817
10	80466514
10	80680011
10	81122463
10	81484838
10	81484838
10	81647543
10	81703972
10	82211803
10	83015486
10	83130432
10	83174099
10	83255481
10	84896889
10	86573446
10	88065207
10	88248485
10	88324948
10	88420968
10	88435617
10	89035412
10	89143789
10	89213184
10	90461022
10	91052183
10	91389076
10	91389076
10	91488999
10	91655652
10	91737278
10	91851857
10	92405878
10	92500769
10	93138304
10	94132771
10	94252114
10	94534843
10	95008040
10	95048203
10	95893815
10	95977266
10	96091724
10	96091780
10	96573808
10	96691016
10	97655105
10	98162271
10	98373467
10	98974926
10	99484236
10	99649452
10	100167564
10	100774308
10	100901103
10	100931735
10	101370053
10	101737365
10	102197027
10	102419493
10	102608208
10	102716642
10	103163933
10	103516609
10	103570760
10	103896574
10	104368054
10	104876289
10	106224411
10	106329492
10	107735938
10	108192805
10	108583925
10	108838719
10	109283739
10	109292747
10	109577779
10	110008020
10	110320714
10	110380789
10	110434871
10	110498466
10	110658157
10	111274055
10	111320505
10	111652568
10	111652568
10	111892759
10	112090245
10	112208517
10	112293459
10	112773326
10	113091423
10	113214420
10	113296046
10	113531335
10	113626542
10	113812004
10	114374753
10	114616257
10	115289307
10	115664622
10	115692245
10	115772387
10	115848344
10	116173435
10	116777667
10	117135242
10	117218295
10	117856882
10	117899003
10	117956743
10	118204102
10	118578893
10	118695599
10	118800090
10	118967712
10	119011646
10	119167535
10	119336393
10	119379065
10	119936097
10	119965452
10	120047037
10	120135354
10	120135427
10	120213857
10	120357590
10	121683429
10	123077146
10	123802605
10	123807089
10	123961302
10	124400313
10	124463043
10	124536043
10	124536043
10	125134275
10	126375436
10	126699112
10	127590218
10	128020609
10	128020609
10	128214434
10	128372745
10	129005120
11	3701899
11	3777123
11	3941351
11	4039875
11	4051394
11	4254623
11	4447839
11	4930240
11	4930240
11	5260962
11	5550315
11	5915560
11	6006516
11	6210480
11	6221723
11	7273370
11	8378220
11	8574577
11	8786486
11	8993257
11	9616173
11	9979832
11	10056042
11	10141749
11	10173305
11	10508835
11	11742435
11	11742435
11	11822646
11	12074235
11	12074235
11	12490308
11	15713948
11	15836529
11	16019559
11	16185622
11	16451048
11	16506840
11	16700846
11	16745026
11	17026476
11	17613809
11	17851115
11	18004837
11	18065085
11	19196360
11	19435521
11	19803995
11	20361161
11	20617659
11	20711371
11	20978122
11	21502877
11	21663094
11	22138880
11	22497526
11	22621229
11	22750760
11	22750760
11	22973090
11	23953169
11	24079155
11	24079155
11	25240396
11	25374228
11	26320792
11	26693629
11	27407002
11	27407002
11	27466196
11	27737616
11	28211872
11	29378931
11	29564654
11	29871748
11	29926191
11	30024371
11	33080573
11	33355345
11	33463520
11	33584428
11	33656100
11	34635466
11	35000256
11	35009581
11	35009581
11	35307173
11	35726707
11	36272526
11	36418934
11	36666029
11	36977126
11	37109351
11	37306531
11	37744634
11	38014836
11	38150998
11	38387687
11	39229612
11	39231541
11	40462973
11	40757529
11	41080442
11	41259620
11	41424190
11	41666606
11	41799548
11	41934016
11	42474946
11	42904661
11	43091605
11	43451178
11	43512374
11	43902149
11	44021622
11	44244233
11	44244233
11	44391330
11	44391330
11	44588238
11	45853311
11	47029902
11	47163691
11	47270547
11	47951168
11	48155124
11	48518595
11	49067925
11	49150145
11	49673324
11	49790050
11	50120806
11	50222856
11	50348434
11	50545038
11	50561732
11	50711267
11	51279205
11	51749989
11	52333810
11	52588815
11	52836399
11	53147526
11	53238877
11	53259783
11	54009712
11	54864450
11	55207959
11	55207959
11	55219986
11	55219986
11	55418161
11	55536205
11	55629314
11	56509586
11	56783582
11	58261461
11	60245403
11	60334116
11	60545490
11	61341595
11	61380430
11	62140172
11	62372632
11	62418998
11	62975517
11	62994915
11	63114484
11	63162294
11	63654606
11	63946905
11	64552417
11	65543443
11	65679545
11	65803322
11	66059189
11	66327195
11	66877138
11	67378449
11	67541628
11	67657609
11	67863229
11	67962900
11	68623335
11	68923553
11	69272891
11	69329458
11	70026919
11	70344193
11	70471151
11	70853525
11	70853729
11	71153385
11	71259184
11	71897001
11	72336875
11	72408673
11	72897988
11	73211909
11	73712746
11	74776300
11	75292741
11	75983349
11	76848270
11	76867226
11	77217909
11	77698418
11	77969321
11	78293503
11	78380038
11	78569942
11	78569942
11	79168219
11	79587291
11	79817613
11	80055531
11	80278217
11	80377263
11	80617027
11	80815900
11	81016903
11	81174380
11	81195903
11	81469760
11	81576964
11	81698224
11	81992101
11	82005472
11	82578542
11	83580956
11	83668356
11	84092252
11	84840854
11	84942409
11	85113247
11	85258574
11	86193392
11	86907036
11	87380495
11	87457298
11	87858081
11	88099394
11	88382380
11	88519212
11	88929472
11	89142774
11	89578388
11	89598427
11	89866538
11	90472563
11	91025633
11	92217316
11	93397733
11	93635039
11	93651865
11	95585518
11	96316876
11	96615442
11	96664929
11	97029886
11	97379401
11	98427654
11	98622401
11	98659192
11	98852290
11	98913177
11	99488482
11	99841811
11	100219945
11	100293380
11	100609332
11	101233955
11	101683935
11	101844827
11	102147862
11	102747372
11	103369419
11	103514014
11	103673155
11	104290841
11	104720894
11	104772580
11	104823629
11	105506314
11	105783962
11	106107261
11	106504329
11	107145680
11	107753729
11	107808531
11	109229378
11	109324547
11	109381522
11	109890224
11	110023548
11	110222322
11	110230687
11	111614102
11	111692068
11	111932752
11	112608319
11	112934190
11	113250602
11	113705555
11	114453109
11	114584985
11	114685603
11	114790454
11	115020880
11	115173187
11	115245257
11	115388466
11	115463929
11	116166458
11	116389774
11	116662679
11	116709555
11	116943820
11	117108177
11	117220761
11	117262253
11	117336896
11	117607185
11	117833869
11	117865869
11	118380631
11	118545002
11	118786796
11	119201491
11	119292700
11	119550057
11	119705145
11	120422107
11	120670801
11	120719047
11	120823483
11	120871413
11	120930701
12	3382183
12	4212899
12	4724571
12	6402620
12	8240645
12	9077428
12	10079485
12	10145471
12	10359274
12	10407870
12	10561186
12	10674812
12	10834522
12	10994549
12	11164322
12	11712395
12	11764403
12	12921814
12	13225010
12	13389883
12	13682707
12	13965113
12	14524396
12	15148220
12	15159990
12	16369030
12	16718423
12	16778027
12	17536931
12	18253892
12	19747264
12	19853511
12	21386689
12	21386689
12	21498850
12	21604310
12	25275728
12	25275728
12	25892267
12	26153802
12	26600302
12	26973859
12	27425080
12	27681608
12	28286633
12	28615954
12	28967718
12	29103175
12	29149252
12	29161119
12	29810653
12	30552439
12	30985199
12	31188584
12	31673372
12	32001733
12	32406948
12	32600113
12	32995974
12	33491938
12	34002464
12	34050371
12	34154276
12	35760462
12	36193529
12	36621597
12	37042701
12	37673730
12	38041532
12	39176628
12	39824508
12	41067645
12	41576527
12	42161790
12	42274205
12	42689946
12	42933114
12	43205219
12	43293851
12	43569266
12	43569266
12	43917254
12	44184764
12	44889012
12	45248454
12	46389647
12	46849032
12	47729149
12	47846229
12	48354146
12	48451442
12	48679130
12	48679447
12	48971044
12	49043065
12	49169284
12	49376219
12	50159998
12	50724151
12	51364246
12	52197707
12	52950131
12	53675608
12	54852857
12	55400708
12	55429676
12	56449330
12	57322280
12	57322280
12	57601174
12	58377776
12	59264350
12	59308999
12	59955312
12	60596637
12	60917224
12	61275356
12	61441776
12	61925524
12	61992574
12	62964614
12	63408517
12	63688375
12	64470575
12	64917362
12	65651249
12	65777665
12	67740278
12	68201575
12	68462917
12	68549125
12	70850253
12	71364348
12	71401449
12	71854650
12	74199614
12	74477432
12	74732800
12	74964673
12	75640581
12	75777068
12	77057087
12	78517249
12	78882577
12	80028608
12	80321806
12	80801868
12	80883216
12	81218311
12	81976353
12	82256640
12	82845125
12	83249746
12	83522615
12	83791006
12	83974583
12	85670301
12	85713508
12	86312539
12	86509928
12	86509949
12	86591236
12	86631525
12	86669893
12	86750734
12	86995353
12	87310693
12	87500055
12	87500055
12	87990438
12	88431893
12	91132342
12	91331258
12	91331258
12	91654004
12	91688871
12	91688871
12	91934926
12	92891777
12	93734583
12	94050881
12	95090352
12	95129567
12	95129567
12	95347826
12	95537380
12	95601011
12	96905805
12	97263560
12	98461782
12	98707483
12	99269397
12	99620290
12	100487266
12	100487266
12	101043292
12	101136453
12	101616904
12	101959821
12	102325266
12	103740718
12	103849169
12	103849169
12	103855454
12	104182081
12	104338952
12	104659890
12	104892690
12	104931638
12	105495156
12	105663688
12	106133908
12	106489235
12	106489235
12	107301772
12	107642134
12	107732110
12	107769127
12	108053721
12	109164408
12	109491982
12	109609891
12	109610279
12	111149628
12	112250372
12	112740758
12	113514502
12	113800227
12	114168693
12	115086155
12	115452851
12	116078484
12	117464677
12	117578195
12	118741853
12	119335368
12	119656747
12	119692855
12	119827526
12	120257285
13	3435505
13	3563448
13	3658533
13	3658533
13	4232228
13	4426566
13	4593607
13	4701880
13	4856676
13	5259091
13	6771316
13	6836738
13	7582044
13	8189419
13	8305114
13	8735484
13	10138256
13	10692144
13	11256400
13	11746827
13	12176403
13	13190062
13	13194971
13	13918956
13	14023297
13	15374314
13	16472324
13	17838450
13	17929711
13	19230647
13	19485989
13	19710092
13	20427248
13	20467006
13	20499569
13	21088923
13	21223921
13	21338497
13	22618415
13	23231811
13	23620429
13	23903154
13	24023404
13	25061087
13	25586113
13	25677166
13	25740383
13	25902799
13	26502643
13	26862490
13	27102707
13	27383198
13	27702843
13	27781256
13	28136593
13	28210891
13	28704629
13	28955244
13	29025649
13	29544286
13	30442936
13	30583948
13	30832840
13	31216791
13	32473298
13	33370961
13	34825194
13	36224155
13	36492025
13	36863403
13	37482824
13	37616896
13	37696095
13	38142525
13	38266184
13	38355691
